FILE_SIZE,PACKET_SIZE,TRANSMISSIONS
1,8,129
1,16,65
1,24,43
1,32,33
1,40,26
1,48,22
1,56,19
1,64,17
1,72,15
1,80,13
1,88,12
1,96,11
1,104,10
1,112,10
1,120,9
1,128,9
1,136,8
1,144,8
1,152,7
1,160,7
1,168,7
1,176,6
1,184,6
1,192,6
1,200,6
1,208,5
1,216,5
1,224,5
1,232,5
1,240,5
1,248,5
1,256,5
1,264,4
1,272,4
1,280,4
1,288,4
1,296,4
1,304,4
1,312,4
1,320,4
1,328,4
1,336,4
1,344,3
1,352,3
1,360,3
1,368,3
1,376,3
1,384,3
1,392,3
1,400,3
1,408,3
1,416,3
1,424,3
1,432,3
1,440,3
1,448,3
1,456,3
1,464,3
1,472,3
1,480,3
1,488,3
1,496,3
1,504,3
1,512,3
2,8,257
2,16,129
2,24,86
2,32,65
2,40,52
2,48,43
2,56,37
2,64,33
2,72,29
2,80,26
2,88,24
2,96,22
2,104,20
2,112,19
2,120,18
2,128,17
2,136,16
2,144,15
2,152,14
2,160,13
2,168,13
2,176,12
2,184,12
2,192,11
2,200,11
2,208,10
2,216,10
2,224,10
2,232,9
2,240,9
2,248,9
2,256,9
2,264,8
2,272,8
2,280,8
2,288,8
2,296,7
2,304,7
2,312,7
2,320,7
2,328,7
2,336,7
2,344,6
2,352,6
2,360,6
2,368,6
2,376,6
2,384,6
2,392,6
2,400,6
2,408,6
2,416,5
2,424,5
2,432,5
2,440,5
2,448,5
2,456,5
2,464,5
2,472,5
2,480,5
2,488,5
2,496,5
2,504,5
2,512,5
3,8,385
3,16,193
3,24,129
3,32,97
3,40,77
3,48,65
3,56,55
3,64,49
3,72,43
3,80,39
3,88,35
3,96,33
3,104,30
3,112,28
3,120,26
3,128,25
3,136,23
3,144,22
3,152,21
3,160,20
3,168,19
3,176,18
3,184,17
3,192,17
3,200,16
3,208,15
3,216,15
3,224,14
3,232,14
3,240,13
3,248,13
3,256,13
3,264,12
3,272,12
3,280,11
3,288,11
3,296,11
3,304,11
3,312,10
3,320,10
3,328,10
3,336,10
3,344,9
3,352,9
3,360,9
3,368,9
3,376,9
3,384,9
3,392,8
3,400,8
3,408,8
3,416,8
3,424,8
3,432,8
3,440,7
3,448,7
3,456,7
3,464,7
3,472,7
3,480,7
3,488,7
3,496,7
3,504,7
3,512,7
4,8,513
4,16,257
4,24,171
4,32,129
4,40,103
4,48,86
4,56,74
4,64,65
4,72,57
4,80,52
4,88,47
4,96,43
4,104,40
4,112,37
4,120,35
4,128,33
4,136,31
4,144,29
4,152,27
4,160,26
4,168,25
4,176,24
4,184,23
4,192,22
4,200,21
4,208,20
4,216,19
4,224,19
