PACKET_SIZE,TRANSMISSIONS
8,871
10,825
12,696
14,615
16,450
18,402
20,361
22,386
24,305
26,331
28,303
30,267
32,224
34,301
36,164
38,141
40,225
42,133
44,219
46,153
48,145
50,161
52,146
54,141
56,151
58,104
60,121
62,138
64,130
66,108
68,116
70,100
72,125
74,80
76,99
78,119
80,118
82,81
84,76
86,118
88,109
90,70
92,105
94,79
96,108
98,108
100,71
102,55
104,41
106,58
108,62
110,33
112,63
114,58
116,69
118,110
120,40
122,70
124,57
126,64
128,104
130,39
132,39
134,50
136,39
138,62
140,38
142,32
144,50
146,25
148,23
150,42
152,50
154,54
156,87
158,33
160,31
162,58
164,37
166,61
168,54
170,45
172,37
174,34
176,30
178,52
180,34
182,28
184,44
186,43
188,26
190,69
192,24
194,60
196,34
198,29
200,44
202,25
204,71
206,41
208,29
210,24
212,51
214,46
216,47
218,32
220,62
222,57
224,33
226,23
228,22
230,34
232,30
234,82
236,17
238,28
240,26
242,23
244,27
246,34
248,14
250,28
252,37
254,26
256,75
258,32
260,28
262,43
264,26
266,23
268,17
270,16
272,23
274,44
276,21
278,15
280,28
282,12
284,33
286,12
288,47
290,12
292,12
294,45
296,16
298,16
300,15
302,16
304,21
306,14
308,24
310,61
312,19
314,28
316,18
318,16
320,38
322,20
324,22
326,27
328,20
330,21
332,24
334,12
336,10
338,14
340,16
342,14
344,37
346,11
348,21
350,28
352,25
354,48
356,19
358,28
360,34
362,16
364,15
366,29
368,16
370,34
372,15
374,16
376,16
378,19
380,20
382,18
384,9
386,22
388,41
390,10
392,26
394,24
396,18
398,15
400,42
402,9
404,20
406,20
408,22
410,19
412,26
414,15
416,43
418,15
420,17
422,8
424,15
426,24
428,30
430,10
432,40
434,8
436,12
438,22
440,16
442,19
444,51
446,13
448,8
450,16
452,23
454,22
456,8
458,18
460,8
462,25
464,16
466,7
468,13
470,13
472,13
474,15
476,11
478,32
480,20
482,17
484,16
486,20
488,9
490,32
492,23
494,12
496,7
498,13
500,10
502,8
504,20
506,13
508,19
510,7
512,7
